State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Anantapur,Tenakallu,Maize,Yellow,FAQ,03/12/2024,3000,3500,3200
"Andhra Pradesh",Chittor,Mulakalacheruvu,Tomato,Local,FAQ,03/12/2024,4500,5500,5000
"Andhra Pradesh",Chittor,Punganur,Tomato,Hybrid,FAQ,03/12/2024,4200,5000,4670
"Andhra Pradesh","East Godavari",Sampara,Paddy(Dhan)(Common),"Swarna Masuri (New)",FAQ,03/12/2024,2300,2320,2300
"Andhra Pradesh",Guntur,Guntur,"Dry Chillies","Red New",FAQ,03/12/2024,8000,16300,15500
"Andhra Pradesh",Guntur,Pidugurala(Palnadu),"Dry Chillies",Red,FAQ,03/12/2024,11000,16000,13000
"Andhra Pradesh",Guntur,Tenali,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,03/12/2024,8000,8200,8100
"Andhra Pradesh",Kurnool,Adoni,Cotton,Bunny,FAQ,03/12/2024,4561,7279,7069
"Andhra Pradesh",Kurnool,Kurnool,"Bajra(Pearl Millet/Cumbu)",Local,FAQ,03/12/2024,2141,2191,2191
"Andhra Pradesh",Kurnool,Kurnool,Maize,Local,FAQ,03/12/2024,1000,2279,2279
Assam,Barpeta,"Barpeta Road",Pumpkin,Pumpkin,Local,03/12/2024,1000,1200,1200
Assam,Cachar,Fatakbazar,"French Beans (Frasbean)","French Beans (Frasbean)",Local,03/12/2024,3300,3400,3300
Assam,Cachar,Kashipur,"Bitter gourd","Bitter Gourd",Local,03/12/2024,2500,3000,2500
Assam,Darrang,Balugaon,"Bitter gourd","Bitter Gourd",Local,03/12/2024,1600,1800,1800
Assam,Darrang,Balugaon,Cabbage,Cabbage,Local,03/12/2024,1500,1800,1600
Assam,Darrang,Balugaon,Cauliflower,Cauliflower,Local,03/12/2024,3500,4000,3600
Assam,Darrang,Balugaon,Ginger(Green),"Green Ginger",Local,03/12/2024,3500,4000,4000
Assam,Darrang,Balugaon,"Green Chilli","Green Chilly",Local,03/12/2024,2200,2500,2400
Assam,Goalpara,Simlitola,"Bottle gourd","Bottle Gourd",Local,03/12/2024,1000.05,1333.4,1066.72
Assam,Kamrup,"Brahmaputra Private Market",Cabbage,Cabbage,Local,03/12/2024,2600,2800,2700
Assam,Kamrup,"Brahmaputra Private Market",Lemon,Lemon,Local,03/12/2024,1334,1600.8,1467.4
Assam,Kamrup,"Brahmaputra Private Market",Pumpkin,Pumpkin,Local,03/12/2024,1700,1800,1700
Assam,Kamrup,Pamohi(Garchuk),Brinjal,Brinjal,Local,03/12/2024,2200,2400,2200
